date_sk,date,year,month,month_name,day,day_of_week,day_name,week_of_year,quarter,is_weekend
20230101,2023-01-01,2023,1,January,1,7,Sunday,52,1,1
20230102,2023-01-02,2023,1,January,2,1,Monday,1,1,0
20230103,2023-01-03,2023,1,January,3,2,Tuesday,1,1,0
20230104,2023-01-04,2023,1,January,4,3,Wednesday,1,1,0
20230105,2023-01-05,2023,1,January,5,4,Thursday,1,1,0
20230106,2023-01-06,2023,1,January,6,5,Friday,1,1,0
20230107,2023-01-07,2023,1,January,7,6,Saturday,1,1,1
20230108,2023-01-08,2023,1,January,8,7,Sunday,1,1,1
20230109,2023-01-09,2023,1,January,9,1,Monday,2,1,0
20230110,2023-01-10,2023,1,January,10,2,Tuesday,2,1,0
20230111,2023-01-11,2023,1,January,11,3,Wednesday,2,1,0
20230112,2023-01-12,2023,1,January,12,4,Thursday,2,1,0
20230113,2023-01-13,2023,1,January,13,5,Friday,2,1,0
20230114,2023-01-14,2023,1,January,14,6,Saturday,2,1,1
20230115,2023-01-15,2023,1,January,15,7,Sunday,2,1,1
20230116,2023-01-16,2023,1,January,16,1,Monday,3,1,0
20230117,2023-01-17,2023,1,January,17,2,Tuesday,3,1,0
20230118,2023-01-18,2023,1,January,18,3,Wednesday,3,1,0
20230119,2023-01-19,2023,1,January,19,4,Thursday,3,1,0
20230120,2023-01-20,2023,1,January,20,5,Friday,3,1,0
20230121,2023-01-21,2023,1,January,21,6,Saturday,3,1,1
20230122,2023-01-22,2023,1,January,22,7,Sunday,3,1,1
20230123,2023-01-23,2023,1,January,23,1,Monday,4,1,0
20230124,2023-01-24,2023,1,January,24,2,Tuesday,4,1,0
20230125,2023-01-25,2023,1,January,25,3,Wednesday,4,1,0
20230126,2023-01-26,2023,1,January,26,4,Thursday,4,1,0
20230127,2023-01-27,2023,1,January,27,5,Friday,4,1,0
20230128,2023-01-28,2023,1,January,28,6,Saturday,4,1,1
20230129,2023-01-29,2023,1,January,29,7,Sunday,4,1,1
20230130,2023-01-30,2023,1,January,30,1,Monday,5,1,0
20230131,2023-01-31,2023,1,January,31,2,Tuesday,5,1,0
20230201,2023-02-01,2023,2,February,1,3,Wednesday,5,1,0
20230202,2023-02-02,2023,2,February,2,4,Thursday,5,1,0
20230203,2023-02-03,2023,2,February,3,5,Friday,5,1,0
20230204,2023-02-04,2023,2,February,4,6,Saturday,5,1,1
20230205,2023-02-05,2023,2,February,5,7,Sunday,5,1,1
20230206,2023-02-06,2023,2,February,6,1,Monday,6,1,0
20230207,2023-02-07,2023,2,February,7,2,Tuesday,6,1,0
20230208,2023-02-08,2023,2,February,8,3,Wednesday,6,1,0
20230209,2023-02-09,2023,2,February,9,4,Thursday,6,1,0
20230210,2023-02-10,2023,2,February,10,5,Friday,6,1,0
20230211,2023-02-11,2023,2,February,11,6,Saturday,6,1,1
20230212,2023-02-12,2023,2,February,12,7,Sunday,6,1,1
20230213,2023-02-13,2023,2,February,13,1,Monday,7,1,0
20230214,2023-02-14,2023,2,February,14,2,Tuesday,7,1,0
20230215,2023-02-15,2023,2,February,15,3,Wednesday,7,1,0
20230216,2023-02-16,2023,2,February,16,4,Thursday,7,1,0
20230217,2023-02-17,2023,2,February,17,5,Friday,7,1,0
20230218,2023-02-18,2023,2,February,18,6,Saturday,7,1,1
20230219,2023-02-19,2023,2,February,19,7,Sunday,7,1,1
20230220,2023-02-20,2023,2,February,20,1,Monday,8,1,0
20230221,2023-02-21,2023,2,February,21,2,Tuesday,8,1,0
20230222,2023-02-22,2023,2,February,22,3,Wednesday,8,1,0
20230223,2023-02-23,2023,2,February,23,4,Thursday,8,1,0
20230224,2023-02-24,2023,2,February,24,5,Friday,8,1,0
20230225,2023-02-25,2023,2,February,25,6,Saturday,8,1,1
20230226,2023-02-26,2023,2,February,26,7,Sunday,8,1,1
20230227,2023-02-27,2023,2,February,27,1,Monday,9,1,0
20230228,2023-02-28,2023,2,February,28,2,Tuesday,9,1,0
20230301,2023-03-01,2023,3,March,1,3,Wednesday,9,1,0
20230302,2023-03-02,2023,3,March,2,4,Thursday,9,1,0
20230303,2023-03-03,2023,3,March,3,5,Friday,9,1,0
20230304,2023-03-04,2023,3,March,4,6,Saturday,9,1,1
20230305,2023-03-05,2023,3,March,5,7,Sunday,9,1,1
20230306,2023-03-06,2023,3,March,6,1,Monday,10,1,0
20230307,2023-03-07,2023,3,March,7,2,Tuesday,10,1,0
20230308,2023-03-08,2023,3,March,8,3,Wednesday,10,1,0
20230309,2023-03-09,2023,3,March,9,4,Thursday,10,1,0
20230310,2023-03-10,2023,3,March,10,5,Friday,10,1,0
20230311,2023-03-11,2023,3,March,11,6,Saturday,10,1,1
20230312,2023-03-12,2023,3,March,12,7,Sunday,10,1,1
20230313,2023-03-13,2023,3,March,13,1,Monday,11,1,0
20230314,2023-03-14,2023,3,March,14,2,Tuesday,11,1,0
20230315,2023-03-15,2023,3,March,15,3,Wednesday,11,1,0
20230316,2023-03-16,2023,3,March,16,4,Thursday,11,1,0
20230317,2023-03-17,2023,3,March,17,5,Friday,11,1,0
20230318,2023-03-18,2023,3,March,18,6,Saturday,11,1,1
20230319,2023-03-19,2023,3,March,19,7,Sunday,11,1,1
20230320,2023-03-20,2023,3,March,20,1,Monday,12,1,0
20230321,2023-03-21,2023,3,March,21,2,Tuesday,12,1,0
20230322,2023-03-22,2023,3,March,22,3,Wednesday,12,1,0
20230323,2023-03-23,2023,3,March,23,4,Thursday,12,1,0
20230324,2023-03-24,2023,3,March,24,5,Friday,12,1,0
20230325,2023-03-25,2023,3,March,25,6,Saturday,12,1,1
20230326,2023-03-26,2023,3,March,26,7,Sunday,12,1,1
20230327,2023-03-27,2023,3,March,27,1,Monday,13,1,0
20230328,2023-03-28,2023,3,March,28,2,Tuesday,13,1,0
20230329,2023-03-29,2023,3,March,29,3,Wednesday,13,1,0
20230330,2023-03-30,2023,3,March,30,4,Thursday,13,1,0
20230331,2023-03-31,2023,3,March,31,5,Friday,13,1,0
20230401,2023-04-01,2023,4,April,1,6,Saturday,13,2,1
20230402,2023-04-02,2023,4,April,2,7,Sunday,13,2,1
20230403,2023-04-03,2023,4,April,3,1,Monday,14,2,0
20230404,2023-04-04,2023,4,April,4,2,Tuesday,14,2,0
20230405,2023-04-05,2023,4,April,5,3,Wednesday,14,2,0
20230406,2023-04-06,2023,4,April,6,4,Thursday,14,2,0
20230407,2023-04-07,2023,4,April,7,5,Friday,14,2,0
20230408,2023-04-08,2023,4,April,8,6,Saturday,14,2,1
20230409,2023-04-09,2023,4,April,9,7,Sunday,14,2,1
20230410,2023-04-10,2023,4,April,10,1,Monday,15,2,0
20230411,2023-04-11,2023,4,April,11,2,Tuesday,15,2,0
20230412,2023-04-12,2023,4,April,12,3,Wednesday,15,2,0
20230413,2023-04-13,2023,4,April,13,4,Thursday,15,2,0
20230414,2023-04-14,2023,4,April,14,5,Friday,15,2,0
20230415,2023-04-15,2023,4,April,15,6,Saturday,15,2,1
20230416,2023-04-16,2023,4,April,16,7,Sunday,15,2,1
20230417,2023-04-17,2023,4,April,17,1,Monday,16,2,0
20230418,2023-04-18,2023,4,April,18,2,Tuesday,16,2,0
20230419,2023-04-19,2023,4,April,19,3,Wednesday,16,2,0
20230420,2023-04-20,2023,4,April,20,4,Thursday,16,2,0
20230421,2023-04-21,2023,4,April,21,5,Friday,16,2,0
20230422,2023-04-22,2023,4,April,22,6,Saturday,16,2,1
20230423,2023-04-23,2023,4,April,23,7,Sunday,16,2,1
20230424,2023-04-24,2023,4,April,24,1,Monday,17,2,0
20230425,2023-04-25,2023,4,April,25,2,Tuesday,17,2,0
20230426,2023-04-26,2023,4,April,26,3,Wednesday,17,2,0
20230427,2023-04-27,2023,4,April,27,4,Thursday,17,2,0
20230428,2023-04-28,2023,4,April,28,5,Friday,17,2,0
20230429,2023-04-29,2023,4,April,29,6,Saturday,17,2,1
20230430,2023-04-30,2023,4,April,30,7,Sunday,17,2,1
20230501,2023-05-01,2023,5,May,1,1,Monday,18,2,0
20230502,2023-05-02,2023,5,May,2,2,Tuesday,18,2,0
20230503,2023-05-03,2023,5,May,3,3,Wednesday,18,2,0
20230504,2023-05-04,2023,5,May,4,4,Thursday,18,2,0
20230505,2023-05-05,2023,5,May,5,5,Friday,18,2,0
20230506,2023-05-06,2023,5,May,6,6,Saturday,18,2,1
20230507,2023-05-07,2023,5,May,7,7,Sunday,18,2,1
20230508,2023-05-08,2023,5,May,8,1,Monday,19,2,0
20230509,2023-05-09,2023,5,May,9,2,Tuesday,19,2,0
20230510,2023-05-10,2023,5,May,10,3,Wednesday,19,2,0
20230511,2023-05-11,2023,5,May,11,4,Thursday,19,2,0
20230512,2023-05-12,2023,5,May,12,5,Friday,19,2,0
20230513,2023-05-13,2023,5,May,13,6,Saturday,19,2,1
20230514,2023-05-14,2023,5,May,14,7,Sunday,19,2,1
20230515,2023-05-15,2023,5,May,15,1,Monday,20,2,0
20230516,2023-05-16,2023,5,May,16,2,Tuesday,20,2,0
20230517,2023-05-17,2023,5,May,17,3,Wednesday,20,2,0
20230518,2023-05-18,2023,5,May,18,4,Thursday,20,2,0
20230519,2023-05-19,2023,5,May,19,5,Friday,20,2,0
20230520,2023-05-20,2023,5,May,20,6,Saturday,20,2,1
20230521,2023-05-21,2023,5,May,21,7,Sunday,20,2,1
20230522,2023-05-22,2023,5,May,22,1,Monday,21,2,0
20230523,2023-05-23,2023,5,May,23,2,Tuesday,21,2,0
20230524,2023-05-24,2023,5,May,24,3,Wednesday,21,2,0
20230525,2023-05-25,2023,5,May,25,4,Thursday,21,2,0
20230526,2023-05-26,2023,5,May,26,5,Friday,21,2,0
20230527,2023-05-27,2023,5,May,27,6,Saturday,21,2,1
20230528,2023-05-28,2023,5,May,28,7,Sunday,21,2,1
20230529,2023-05-29,2023,5,May,29,1,Monday,22,2,0
20230530,2023-05-30,2023,5,May,30,2,Tuesday,22,2,0
20230531,2023-05-31,2023,5,May,31,3,Wednesday,22,2,0
20230601,2023-06-01,2023,6,June,1,4,Thursday,22,2,0
