nps_sk,nps_id,customer_sk,channel_sk,responded_date_sk,score,comment,comment_length
1,13000000000,1083,1,0,10.0,,3
2,13000000001,1383,1,0,5.0,Volvería a comprar,18
3,13000000002,179,1,0,10.0,Atención muy buena,18
4,13000000003,566,1,0,7.0,Todo perfecto,13
5,13000000004,1004,1,0,8.0,Atención muy buena,18
6,13000000005,1261,1,0,10.0,Tardó un poco más de lo esperado,32
7,13000000006,1376,1,0,6.0,Todo perfecto,13
8,13000000007,837,1,0,3.0,Volvería a comprar,18
9,13000000008,994,1,0,7.0,Todo perfecto,13
10,13000000009,192,1,0,8.0,Entrega rápida y producto excelente,35
11,13000000010,1330,1,0,6.0,,3
12,13000000011,442,2,0,0.0,Atención muy buena,18
13,13000000012,57,1,0,7.0,Atención muy buena,18
14,13000000013,559,1,0,8.0,Entrega rápida y producto excelente,35
15,13000000014,130,1,0,10.0,Muy conforme con la calidad,27
16,13000000015,238,2,0,4.0,Volvería a comprar,18
17,13000000016,629,1,0,8.0,Entrega rápida y producto excelente,35
18,13000000017,1162,2,0,7.0,Entrega rápida y producto excelente,35
19,13000000018,80,2,0,9.0,Entrega rápida y producto excelente,35
20,13000000019,1233,2,0,2.0,Muy conforme con la calidad,27
21,13000000020,217,1,0,2.0,Entrega rápida y producto excelente,35
22,13000000021,1015,2,0,5.0,Volvería a comprar,18
23,13000000022,1086,2,0,7.0,Atención muy buena,18
24,13000000023,692,1,0,9.0,Muy conforme con la calidad,27
25,13000000024,960,1,0,6.0,Podría mejorar el empaque,25
26,13000000025,695,2,0,2.0,Volvería a comprar,18
27,13000000026,438,1,0,10.0,Volvería a comprar,18
28,13000000027,564,1,0,9.0,Muy conforme con la calidad,27
29,13000000028,1261,1,0,7.0,Volvería a comprar,18
30,13000000029,1122,2,0,4.0,Atención muy buena,18
31,13000000030,1427,1,0,5.0,Muy conforme con la calidad,27
32,13000000031,661,1,0,10.0,Podría mejorar el empaque,25
33,13000000032,1055,2,0,8.0,Todo perfecto,13
34,13000000033,321,2,0,8.0,Podría mejorar el empaque,25
35,13000000034,500,1,0,10.0,Atención muy buena,18
36,13000000035,544,1,0,8.0,Volvería a comprar,18
37,13000000036,1405,2,0,8.0,Atención muy buena,18
38,13000000037,952,1,0,5.0,Podría mejorar el empaque,25
39,13000000038,128,2,0,3.0,Entrega rápida y producto excelente,35
40,13000000039,342,2,0,8.0,Tardó un poco más de lo esperado,32
41,13000000040,19,2,0,3.0,Podría mejorar el empaque,25
42,13000000041,189,1,0,8.0,Muy conforme con la calidad,27
43,13000000042,797,1,0,4.0,Todo perfecto,13
44,13000000043,1004,2,0,8.0,Entrega rápida y producto excelente,35
45,13000000044,426,2,0,9.0,Todo perfecto,13
46,13000000045,1026,1,0,8.0,Muy conforme con la calidad,27
47,13000000046,812,2,0,7.0,,3
48,13000000047,994,1,0,10.0,Entrega rápida y producto excelente,35
49,13000000048,1171,2,0,10.0,,3
50,13000000049,1207,2,0,2.0,Podría mejorar el empaque,25
51,13000000050,1467,1,0,8.0,Todo perfecto,13
52,13000000051,1484,2,0,8.0,Muy conforme con la calidad,27
53,13000000052,815,1,0,9.0,Atención muy buena,18
54,13000000053,500,1,0,9.0,Todo perfecto,13
55,13000000054,1048,2,0,10.0,,3
56,13000000055,19,1,0,7.0,Entrega rápida y producto excelente,35
57,13000000056,804,2,0,7.0,Podría mejorar el empaque,25
58,13000000057,500,2,0,9.0,Entrega rápida y producto excelente,35
59,13000000058,1179,2,0,7.0,Podría mejorar el empaque,25
60,13000000059,902,2,0,9.0,Entrega rápida y producto excelente,35
61,13000000060,548,1,0,6.0,Atención muy buena,18
62,13000000061,1335,1,0,9.0,Volvería a comprar,18
63,13000000062,903,1,0,10.0,,3
64,13000000063,807,1,0,8.0,Todo perfecto,13
65,13000000064,43,2,0,7.0,Tardó un poco más de lo esperado,32
66,13000000065,1189,2,0,8.0,Todo perfecto,13
67,13000000066,554,1,0,7.0,Entrega rápida y producto excelente,35
68,13000000067,1411,1,0,9.0,Podría mejorar el empaque,25
69,13000000068,990,1,0,2.0,Podría mejorar el empaque,25
70,13000000069,581,2,0,8.0,Entrega rápida y producto excelente,35
71,13000000070,1214,2,0,2.0,Muy conforme con la calidad,27
72,13000000071,1182,1,0,8.0,,3
73,13000000072,56,2,0,9.0,Muy conforme con la calidad,27
74,13000000073,1443,1,0,9.0,Muy conforme con la calidad,27
75,13000000074,822,1,0,9.0,Podría mejorar el empaque,25
76,13000000075,18,1,0,7.0,Atención muy buena,18
77,13000000076,436,1,0,8.0,Podría mejorar el empaque,25
78,13000000077,558,2,0,9.0,Volvería a comprar,18
79,13000000078,1202,2,0,9.0,Todo perfecto,13
80,13000000079,1412,2,0,0.0,Podría mejorar el empaque,25
81,13000000080,1336,2,0,6.0,Tardó un poco más de lo esperado,32
82,13000000081,1336,1,0,7.0,Muy conforme con la calidad,27
83,13000000082,1224,2,0,10.0,,3
84,13000000083,859,1,0,9.0,Atención muy buena,18
85,13000000084,818,1,0,10.0,Volvería a comprar,18
86,13000000085,816,2,0,6.0,Entrega rápida y producto excelente,35
87,13000000086,653,1,0,9.0,Muy conforme con la calidad,27
88,13000000087,1056,1,0,8.0,Tardó un poco más de lo esperado,32
89,13000000088,1037,1,0,7.0,Entrega rápida y producto excelente,35
90,13000000089,959,2,0,8.0,Podría mejorar el empaque,25
91,13000000090,1406,1,0,6.0,Atención muy buena,18
92,13000000091,1296,1,0,9.0,Entrega rápida y producto excelente,35
93,13000000092,629,1,0,5.0,Atención muy buena,18
94,13000000093,439,2,0,4.0,Tardó un poco más de lo esperado,32
95,13000000094,1423,1,0,8.0,Todo perfecto,13
96,13000000095,1336,2,0,8.0,Podría mejorar el empaque,25
97,13000000096,1453,2,0,6.0,,3
98,13000000097,722,1,0,8.0,Podría mejorar el empaque,25
99,13000000098,616,1,0,10.0,Volvería a comprar,18
100,13000000099,1104,1,0,10.0,Todo perfecto,13
101,13000000100,1004,1,0,4.0,Tardó un poco más de lo esperado,32
102,13000000101,304,2,0,9.0,Podría mejorar el empaque,25
103,13000000102,114,2,0,10.0,Atención muy buena,18
104,13000000103,248,2,0,9.0,Entrega rápida y producto excelente,35
105,13000000104,208,1,0,5.0,Podría mejorar el empaque,25
106,13000000105,445,1,0,10.0,Tardó un poco más de lo esperado,32
107,13000000106,1304,2,0,10.0,Volvería a comprar,18
108,13000000107,1493,1,0,7.0,Muy conforme con la calidad,27
109,13000000108,1123,1,0,8.0,Entrega rápida y producto excelente,35
110,13000000109,174,2,0,5.0,Podría mejorar el empaque,25
111,13000000110,825,1,0,8.0,Podría mejorar el empaque,25
112,13000000111,1120,2,0,4.0,Todo perfecto,13
113,13000000112,1101,1,0,3.0,Atención muy buena,18
114,13000000113,659,2,0,7.0,Tardó un poco más de lo esperado,32
115,13000000114,1379,1,0,7.0,Tardó un poco más de lo esperado,32
116,13000000115,550,2,0,9.0,Volvería a comprar,18
117,13000000116,1177,1,0,7.0,Todo perfecto,13
118,13000000117,1149,1,0,9.0,Todo perfecto,13
119,13000000118,236,1,0,9.0,Volvería a comprar,18
120,13000000119,226,1,0,9.0,Volvería a comprar,18
121,13000000120,850,2,0,6.0,Entrega rápida y producto excelente,35
122,13000000121,599,1,0,8.0,Volvería a comprar,18
123,13000000122,1230,2,0,9.0,Entrega rápida y producto excelente,35
124,13000000123,1177,1,0,7.0,Volvería a comprar,18
125,13000000124,728,1,0,9.0,Todo perfecto,13
126,13000000125,268,2,0,7.0,Podría mejorar el empaque,25
127,13000000126,980,2,0,8.0,Atención muy buena,18
128,13000000127,902,2,0,5.0,Muy conforme con la calidad,27
129,13000000128,800,2,0,4.0,Podría mejorar el empaque,25
130,13000000129,1447,1,0,10.0,Podría mejorar el empaque,25
131,13000000130,130,1,0,7.0,Entrega rápida y producto excelente,35
132,13000000131,1176,2,0,9.0,Podría mejorar el empaque,25
