order_item_sk,order_item_id,order_id,order_date,customer_id,product_id,channel_id,store_id,billing_address_id,shipping_address_id,status,currency_code,quantity,unit_price,discount_amount,gross_amount,net_amount,subtotal,tax_amount,shipping_fee,total_amount
1,5000000000,1000000000,2024-11-26 07:50:47,356,2,1,,2910.0,1595,FULFILLED,ARS,2,15000.0,0.0,30000.0,30000.0,51600.0,10836.0,1200.0,63636.0
2,5000000001,1000000000,2024-11-26 07:50:47,356,1,1,,2910.0,1595,FULFILLED,ARS,2,12000.0,2400.0,24000.0,21600.0,51600.0,10836.0,1200.0,63636.0
3,5000000002,1000000001,2024-01-31 01:00:04,601,1,1,,3803.0,3534,CREATED,ARS,1,12000.0,240.0,12000.0,11760.0,63840.0,13406.4,900.0,78146.4
4,5000000003,1000000001,2024-01-31 01:00:04,601,2,1,,3803.0,3534,CREATED,ARS,2,15000.0,600.0,30000.0,29400.0,63840.0,13406.4,900.0,78146.4
5,5000000004,1000000001,2024-01-31 01:00:04,601,1,1,,3803.0,3534,CREATED,ARS,2,12600.0,2520.0,25200.0,22680.0,63840.0,13406.4,900.0,78146.4
6,5000000005,1000000002,2025-02-26 19:39:44,1234,1,1,,1126.0,4063,FULFILLED,ARS,1,12000.0,240.0,12000.0,11760.0,25260.0,5304.6,1500.0,32064.6
7,5000000006,1000000002,2025-02-26 19:39:44,1234,2,1,,1126.0,4063,FULFILLED,ARS,1,15000.0,1500.0,15000.0,13500.0,25260.0,5304.6,1500.0,32064.6
8,5000000007,1000000003,2025-03-01 17:35:36,156,1,1,,3665.0,1507,FULFILLED,ARS,1,12000.0,1200.0,12000.0,10800.0,25500.0,5355.0,0.0,30855.0
9,5000000008,1000000003,2025-03-01 17:35:36,156,2,1,,3665.0,1507,FULFILLED,ARS,1,15000.0,300.0,15000.0,14700.0,25500.0,5355.0,0.0,30855.0
10,5000000009,1000000004,2024-03-30 02:46:36,616,2,2,4.0,1293.0,4,FULFILLED,ARS,2,15750.0,1575.0,31500.0,29925.0,44175.0,9276.75,0.0,53451.75
11,5000000010,1000000004,2024-03-30 02:46:36,616,2,2,4.0,1293.0,4,FULFILLED,ARS,1,15000.0,750.0,15000.0,14250.0,44175.0,9276.75,0.0,53451.75
12,5000000011,1000000005,2024-03-12 20:54:35,614,1,2,2.0,1723.0,2,FULFILLED,ARS,2,12000.0,0.0,24000.0,24000.0,24000.0,5040.0,0.0,29040.0
13,5000000012,1000000006,2025-07-15 22:55:56,188,2,1,,1432.0,2148,REFUNDED,ARS,1,15000.0,750.0,15000.0,14250.0,14250.0,2992.5,1200.0,18442.5
14,5000000013,1000000007,2024-11-11 20:15:00,17,2,1,,,3577,FULFILLED,ARS,1,15000.0,1500.0,15000.0,13500.0,13500.0,2835.0,1200.0,17535.0
15,5000000014,1000000008,2024-08-25 03:29:28,1148,1,1,,2018.0,1490,FULFILLED,ARS,3,12000.0,0.0,36000.0,36000.0,89100.0,18711.0,1200.0,109011.0
16,5000000015,1000000008,2024-08-25 03:29:28,1148,2,1,,2018.0,1490,FULFILLED,ARS,3,15000.0,4500.0,45000.0,40500.0,89100.0,18711.0,1200.0,109011.0
17,5000000016,1000000008,2024-08-25 03:29:28,1148,1,1,,2018.0,1490,FULFILLED,ARS,1,12600.0,0.0,12600.0,12600.0,89100.0,18711.0,1200.0,109011.0
18,5000000017,1000000009,2024-03-30 10:34:46,1037,2,1,,1097.0,1974,PAID,ARS,1,13500.0,675.0,13500.0,12825.0,12825.0,2693.25,1200.0,16718.25
19,5000000018,1000000010,2024-03-13 02:19:39,1336,2,2,1.0,,1,REFUNDED,ARS,1,15000.0,300.0,15000.0,14700.0,14700.0,3087.0,0.0,17787.0
20,5000000019,1000000011,2025-06-17 03:46:29,1239,2,2,4.0,2159.0,4,FULFILLED,ARS,1,15000.0,300.0,15000.0,14700.0,34140.0,7169.4,0.0,41309.4
21,5000000020,1000000011,2025-06-17 03:46:29,1239,1,2,4.0,2159.0,4,FULFILLED,ARS,2,10800.0,2160.0,21600.0,19440.0,34140.0,7169.4,0.0,41309.4
22,5000000021,1000000012,2024-08-09 14:38:29,1426,1,2,3.0,3389.0,3,FULFILLED,ARS,3,12000.0,720.0,36000.0,35280.0,35280.0,7408.8,0.0,42688.8
23,5000000022,1000000013,2025-03-23 11:26:14,862,2,2,1.0,1342.0,1,PAID,ARS,3,15750.0,2362.5,47250.0,44887.5,101887.5,21396.38,0.0,123283.88
