order_item_sk,order_item_id,order_id,order_date_sk,customer_sk,product_sk,channel_sk,store_sk,billing_address_sk,shipping_address_sk,status,currency_code,quantity,unit_price,discount_amount,gross_amount,net_amount,subtotal,tax_amount,shipping_fee,total_amount
1,5000000000,1000000000,0,356,2,1,0,1914,599,FULFILLED,ARS,2,15000.0,0.0,30000.0,30000.0,51600.0,10836.0,1200.0,63636.0
2,5000000001,1000000000,0,356,1,1,0,1914,599,FULFILLED,ARS,2,12000.0,2400.0,24000.0,21600.0,51600.0,10836.0,1200.0,63636.0
3,5000000002,1000000001,0,601,1,1,0,2807,2538,CREATED,ARS,1,12000.0,240.0,12000.0,11760.0,63840.0,13406.4,900.0,78146.4
4,5000000003,1000000001,0,601,2,1,0,2807,2538,CREATED,ARS,2,15000.0,600.0,30000.0,29400.0,63840.0,13406.4,900.0,78146.4
5,5000000004,1000000001,0,601,1,1,0,2807,2538,CREATED,ARS,2,12600.0,2520.0,25200.0,22680.0,63840.0,13406.4,900.0,78146.4
6,5000000005,1000000002,0,1234,1,1,0,130,3067,FULFILLED,ARS,1,12000.0,240.0,12000.0,11760.0,25260.0,5304.6,1500.0,32064.6
7,5000000006,1000000002,0,1234,2,1,0,130,3067,FULFILLED,ARS,1,15000.0,1500.0,15000.0,13500.0,25260.0,5304.6,1500.0,32064.6
8,5000000007,1000000003,0,156,1,1,0,2669,511,FULFILLED,ARS,1,12000.0,1200.0,12000.0,10800.0,25500.0,5355.0,0.0,30855.0
9,5000000008,1000000003,0,156,2,1,0,2669,511,FULFILLED,ARS,1,15000.0,300.0,15000.0,14700.0,25500.0,5355.0,0.0,30855.0
10,5000000009,1000000004,0,616,2,2,4,297,4,FULFILLED,ARS,2,15750.0,1575.0,31500.0,29925.0,44175.0,9276.75,0.0,53451.75
11,5000000010,1000000004,0,616,2,2,4,297,4,FULFILLED,ARS,1,15000.0,750.0,15000.0,14250.0,44175.0,9276.75,0.0,53451.75
12,5000000011,1000000005,0,614,1,2,2,727,2,FULFILLED,ARS,2,12000.0,0.0,24000.0,24000.0,24000.0,5040.0,0.0,29040.0
13,5000000012,1000000006,0,188,2,1,0,436,1152,REFUNDED,ARS,1,15000.0,750.0,15000.0,14250.0,14250.0,2992.5,1200.0,18442.5
14,5000000013,1000000007,0,17,2,1,0,0,2581,FULFILLED,ARS,1,15000.0,1500.0,15000.0,13500.0,13500.0,2835.0,1200.0,17535.0
15,5000000014,1000000008,0,1148,1,1,0,1022,494,FULFILLED,ARS,3,12000.0,0.0,36000.0,36000.0,89100.0,18711.0,1200.0,109011.0
