payment_sk,payment_id,order_id,method,status,amount,paid_at,transaction_ref
1,7000000000,1000000000,CARD,PAID,63636.0,2024-11-27 00:50:47,TX-1HW3GM7Q6LFJ
2,7000000001,1000000001,GATEWAY,PENDING,78146.4,,nan
3,7000000002,1000000002,CARD,PAID,32064.6,2025-02-28 07:39:44,TX-8PBOWVHD7B4I
4,7000000003,1000000003,CARD,PAID,30855.0,2025-03-02 15:35:36,TX-SQ97NPWQ6YK8
5,7000000004,1000000004,CARD,PAID,53451.75,2024-04-01 01:46:36,TX-F7761XS1CXDC
6,7000000005,1000000005,CASH,PAID,29040.0,2024-03-13 14:54:35,TX-RNWJHS1F8G0Y
7,7000000006,1000000006,CARD,REFUNDED,18442.5,2025-07-17 12:55:56,TX-X2AJGZ36N3FR
8,7000000007,1000000007,CARD,PAID,17535.0,2024-11-14 13:15:00,TX-ZRHVYPGQTDRK
9,7000000008,1000000008,CARD,PAID,109011.0,2024-08-25 23:29:28,TX-CHL80ZD8IP5O
10,7000000009,1000000009,GATEWAY,PAID,16718.25,2024-03-31 18:34:46,TX-J2VP8C6ROCZQ
11,7000000010,1000000010,TRANSFER,REFUNDED,17787.0,2024-03-14 03:19:39,TX-1UN1COQAVK65
12,7000000011,1000000011,CASH,PAID,41309.4,2025-06-17 07:46:29,TX-U5CXUHGK42O6
13,7000000012,1000000012,CARD,PAID,42688.8,2024-08-12 06:38:29,TX-GS664FN80M9E
14,7000000013,1000000013,CASH,PAID,123283.88,2025-03-23 14:26:14,TX-BZOPSO6JPRZD
15,7000000014,1000000014,CARD,PAID,15129.6,2025-08-20 03:46:12,TX-AD0J2NGELHNC
16,7000000015,1000000015,CARD,FAILED,29659.2,,nan
17,7000000016,1000000016,GATEWAY,PAID,28642.8,2025-08-29 20:46:32,TX-Y2BIADVO9F18
18,7000000017,1000000017,CARD,PAID,80912.7,2025-02-20 01:36:04,TX-O7MTCOYJ61AJ
19,7000000018,1000000018,GATEWAY,FAILED,100107.9,,nan
20,7000000019,1000000019,CARD,PAID,46023.24,2025-04-23 12:12:18,TX-EMS8E80975XQ
