shipment_sk,shipment_id,order_id,customer_sk,channel_sk,store_sk,shipped_date_sk,delivered_date_sk,carrier,tracking_number,status,shipped_at,delivered_at,delivery_time_days
1,9000000000,1000000000,356,1,0,0,0,Correo Argentino,TRK-LM6S0ZIUQ6,DELIVERED,2024-11-27 07:50:47,2024-11-30 07:50:47,3.0
2,9000000001,1000000001,601,1,0,0,0,Correo Argentino,TRK-S7JYRIGG48,READY,2024-02-01 01:00:04,2024-02-05 01:00:04,4.0
3,9000000002,1000000002,1234,1,0,0,0,Correo Argentino,TRK-YI8R5NTIPW,DELIVERED,2025-02-27 19:39:44,2025-03-01 19:39:44,2.0
4,9000000003,1000000003,156,1,0,0,0,Correo Argentino,TRK-UWNN6LXYNU,DELIVERED,2025-03-02 17:35:36,2025-03-06 17:35:36,4.0
5,9000000004,1000000004,616,2,4,0,0,PICKUP,,DELIVERED,2024-03-30 02:46:36,2024-03-31 02:46:36,1.0
6,9000000005,1000000005,614,2,2,0,0,PICKUP,,DELIVERED,2024-03-12 20:54:35,2024-03-13 20:54:35,1.0
7,9000000006,1000000006,188,1,0,0,0,Correo Argentino,TRK-UCA7R6D2X6,DELIVERED,2025-07-16 22:55:56,2025-07-20 22:55:56,4.0
8,9000000007,1000000007,17,1,0,0,0,Correo Argentino,TRK-EEAFDZHDID,DELIVERED,2024-11-12 20:15:00,2024-11-15 20:15:00,3.0
9,9000000008,1000000008,1148,1,0,0,0,Correo Argentino,TRK-99ZZCRAXY6,DELIVERED,2024-08-26 03:29:28,2024-08-28 03:29:28,2.0
10,9000000009,1000000009,1037,1,0,0,0,Correo Argentino,TRK-M4QI31HO4X,SHIPPED,2024-03-31 10:34:46,2024-04-03 10:34:46,3.0
11,9000000010,1000000010,1336,2,1,0,0,PICKUP,,DELIVERED,2024-03-13 02:19:39,2024-03-14 02:19:39,1.0
12,9000000011,1000000011,1239,2,4,0,0,PICKUP,,DELIVERED,2025-06-17 03:46:29,2025-06-18 03:46:29,1.0
13,9000000012,1000000012,1426,2,3,0,0,PICKUP,,DELIVERED,2024-08-09 14:38:29,2024-08-10 14:38:29,1.0
14,9000000013,1000000013,862,2,1,0,0,PICKUP,,SHIPPED,2025-03-23 11:26:14,2025-03-24 11:26:14,1.0
15,9000000014,1000000014,181,1,0,0,0,Correo Argentino,TRK-TEL745CSF0,SHIPPED,2025-08-19 12:46:12,2025-08-24 12:46:12,5.0
16,9000000015,1000000015,700,1,0,0,0,Correo Argentino,,CANCELLED,,,
17,9000000016,1000000016,475,1,0,0,0,Correo Argentino,TRK-2QJED48Q5H,DELIVERED,2025-08-28 22:46:32,2025-09-02 22:46:32,5.0
18,9000000017,1000000017,753,2,2,0,0,PICKUP,,DELIVERED,2025-02-19 14:36:04,2025-02-20 14:36:04,1.0
19,9000000018,1000000018,1151,1,0,0,0,Correo Argentino,,CANCELLED,,,
20,9000000019,1000000019,793,1,0,0,0,Correo Argentino,TRK-LU2ZLGLEOH,DELIVERED,2025-04-22 04:12:18,2025-04-26 04:12:18,4.0
21,9000000020,1000000020,866,1,0,0,0,Correo Argentino,TRK-UD7KW642LM,DELIVERED,2024-05-07 01:36:24,2024-05-11 01:36:24,4.0
22,9000000021,1000000021,1110,1,0,0,0,Correo Argentino,TRK-4588YSVCZA,DELIVERED,2025-09-24 22:05:51,2025-09-26 22:05:51,2.0
23,9000000022,1000000022,854,2,1,0,0,PICKUP,,DELIVERED,2024-03-31 02:16:34,2024-04-01 02:16:34,1.0
24,9000000023,1000000023,379,2,3,0,0,PICKUP,,DELIVERED,2025-07-05 19:42:57,2025-07-06 19:42:57,1.0
25,9000000024,1000000024,441,2,2,0,0,PICKUP,,DELIVERED,2025-03-02 15:57:05,2025-03-03 15:57:05,1.0
26,9000000025,1000000025,125,1,0,0,0,Correo Argentino,TRK-YJMLEQMJ1S,DELIVERED,2025-08-27 06:57:45,2025-08-31 06:57:45,4.0
27,9000000026,1000000026,1201,1,0,0,0,Correo Argentino,TRK-IWZB9131BN,DELIVERED,2024-12-13 23:59:48,2024-12-16 23:59:48,3.0
28,9000000027,1000000027,1055,1,0,0,0,Correo Argentino,TRK-F7ZF8SQ633,DELIVERED,2024-12-03 01:44:59,2024-12-06 01:44:59,3.0
29,9000000028,1000000028,382,1,0,0,0,Correo Argentino,TRK-NW8EX6WAQP,DELIVERED,2024-05-18 06:11:07,2024-05-22 06:11:07,4.0
30,9000000029,1000000029,1456,1,0,0,0,Correo Argentino,TRK-SNH0E9H2BV,DELIVERED,2025-09-15 02:43:49,2025-09-20 02:43:49,5.0
31,9000000030,1000000030,1377,2,4,0,0,PICKUP,,SHIPPED,2025-06-09 19:02:55,2025-06-10 19:02:55,1.0
32,9000000031,1000000031,1375,2,4,0,0,PICKUP,,SHIPPED,2025-05-10 11:15:07,2025-05-11 11:15:07,1.0
33,9000000032,1000000032,821,1,0,0,0,Correo Argentino,TRK-AF3QHYH0G0,DELIVERED,2025-03-16 14:37:22,2025-03-18 14:37:22,2.0
34,9000000033,1000000033,1475,2,4,0,0,PICKUP,,DELIVERED,2024-06-08 03:23:04,2024-06-09 03:23:04,1.0
35,9000000034,1000000034,634,2,2,0,0,PICKUP,,DELIVERED,2024-11-17 01:24:31,2024-11-18 01:24:31,1.0
36,9000000035,1000000035,585,2,1,0,0,PICKUP,,DELIVERED,2024-01-12 05:54:27,2024-01-13 05:54:27,1.0
