session_sk,session_id,customer_sk,start_date_sk,end_date_sk,source,device,session_duration_min
1,11000000000,791,0,0,ads,desktop,11.0
2,11000000001,332,0,0,direct,desktop,8.0
3,11000000002,0,0,0,email,mobile,2.0
4,11000000003,771,0,0,ads,mobile,40.0
5,11000000004,908,0,0,direct,mobile,13.0
6,11000000005,1222,0,0,referral,mobile,39.0
7,11000000006,490,0,0,ads,mobile,22.0
8,11000000007,705,0,0,ads,mobile,54.0
9,11000000008,1161,0,0,direct,mobile,9.0
10,11000000009,841,0,0,ads,mobile,13.0
11,11000000010,0,0,0,referral,mobile,37.0
12,11000000011,162,0,0,social,mobile,35.0
13,11000000012,0,0,0,social,mobile,
14,11000000013,1477,0,0,ads,mobile,58.0
15,11000000014,0,0,0,social,mobile,3.0
16,11000000015,60,0,0,ads,desktop,56.0
17,11000000016,520,0,0,direct,mobile,16.0
18,11000000017,0,0,0,email,desktop,44.0
19,11000000018,0,0,0,direct,mobile,45.0
20,11000000019,0,0,0,ads,desktop,56.0
21,11000000020,575,0,0,direct,mobile,37.0
22,11000000021,508,0,0,direct,desktop,37.0
23,11000000022,0,0,0,ads,mobile,15.0
24,11000000023,0,0,0,ads,desktop,33.0
25,11000000024,99,0,0,direct,mobile,36.0
26,11000000025,1277,0,0,ads,mobile,21.0
27,11000000026,0,0,0,direct,mobile,
28,11000000027,95,0,0,direct,tablet,6.0
29,11000000028,1286,0,0,direct,mobile,39.0
30,11000000029,1176,0,0,direct,mobile,21.0
31,11000000030,1053,0,0,ads,desktop,54.0
32,11000000031,290,0,0,ads,mobile,10.0
33,11000000032,357,0,0,direct,mobile,25.0
34,11000000033,391,0,0,ads,mobile,18.0
35,11000000034,830,0,0,direct,desktop,7.0
36,11000000035,1076,0,0,ads,desktop,36.0
37,11000000036,0,0,0,referral,mobile,9.0
38,11000000037,622,0,0,email,desktop,48.0
39,11000000038,990,0,0,social,mobile,1.0
40,11000000039,902,0,0,direct,desktop,20.0
41,11000000040,572,0,0,direct,mobile,
42,11000000041,1088,0,0,direct,mobile,8.0
43,11000000042,1101,0,0,referral,mobile,48.0
44,11000000043,833,0,0,direct,mobile,51.0
45,11000000044,0,0,0,ads,mobile,27.0
46,11000000045,1371,0,0,direct,mobile,4.0
47,11000000046,1090,0,0,direct,mobile,47.0
48,11000000047,250,0,0,direct,mobile,4.0
49,11000000048,135,0,0,direct,desktop,46.0
50,11000000049,334,0,0,direct,mobile,27.0
51,11000000050,779,0,0,direct,mobile,48.0
52,11000000051,1396,0,0,email,desktop,18.0
53,11000000052,0,0,0,ads,mobile,50.0
54,11000000053,0,0,0,direct,mobile,2.0
55,11000000054,732,0,0,direct,mobile,50.0
56,11000000055,1267,0,0,ads,desktop,14.0
57,11000000056,298,0,0,direct,mobile,24.0
58,11000000057,933,0,0,ads,mobile,43.0
59,11000000058,550,0,0,email,desktop,31.0
60,11000000059,0,0,0,direct,mobile,24.0
61,11000000060,342,0,0,social,mobile,34.0
62,11000000061,568,0,0,referral,mobile,
63,11000000062,498,0,0,email,tablet,28.0
64,11000000063,0,0,0,ads,mobile,27.0
